species,yolo_confidence,recent_detections,historical_conflicts,settlement_proximity,temporal_pattern,environmental_context,spatial_relationship,risk_score
Wild Boar,66.8,17,5,2,0,2,0,64.69
Asian Elephant,78.39,10,4,2,1,2,1,70.17
Wild Boar,63.57,17,5,1,0,1,1,57.14
Leopard,84.4,17,4,1,0,1,2,63.26
Spotted Deer,81.47,4,6,0,1,0,2,44.36
Wild Boar,75.89,6,2,2,1,2,2,60.72
Spotted Deer,80.33,12,0,0,1,2,1,38.01
Asian Elephant,94.97,20,5,0,2,2,2,80.31
Spotted Deer,67.66,17,1,1,1,0,2,43.68
Spotted Deer,60.88,17,1,0,1,0,1,31.38
Tiger,93.6,10,2,0,1,0,2,47.32
Tiger,82.51,7,2,0,0,1,0,32.66
Tiger,94.74,16,6,1,1,0,0,62.13
Spotted Deer,83.28,13,1,0,0,1,2,38.67
Leopard,91.6,3,5,0,2,1,2,58.34
Spotted Deer,76.76,2,1,1,1,1,2,36.78
Leopard,89.24,16,0,1,1,1,1,50.92
Leopard,95.61,6,4,1,0,0,0,38.25
Tiger,82.31,6,0,2,2,0,0,47.57
Wild Boar,67.05,13,6,1,1,2,2,77.54
Asian Elephant,70.48,7,6,2,2,2,2,82.05
Tiger,67.75,5,1,1,2,1,1,51.27
Tiger,69.63,7,4,1,1,2,1,59.35
Wild Boar,71.95,2,1,1,2,2,0,40.3
Asian Elephant,81.65,17,0,2,2,2,1,72.64
Spotted Deer,82.93,13,0,0,1,1,0,28.7
Spotted Deer,76.63,16,5,1,0,2,2,66.67
Tiger,84.0,20,5,2,1,0,2,81.2
Asian Elephant,63.18,2,0,1,2,1,0,31.3
Tiger,63.42,5,4,0,1,0,2,50.45
Leopard,66.7,18,6,2,0,1,1,72.43
Tiger,80.21,7,5,1,2,0,2,66.07
Tiger,68.35,11,5,1,2,2,2,76.77
Spotted Deer,71.05,11,3,1,0,1,0,39.48
Spotted Deer,75.61,17,3,0,0,0,1,38.41
Spotted Deer,91.66,16,5,2,2,1,1,71.61
Leopard,60.54,13,1,1,0,0,2,43.24
Spotted Deer,85.33,5,4,1,1,2,2,58.83
Asian Elephant,86.09,20,2,2,0,1,1,67.41
Wild Boar,91.15,16,5,0,1,1,1,59.95
Asian Elephant,96.38,16,3,0,2,0,0,52.13
Asian Elephant,60.79,16,4,0,2,0,2,58.35
Spotted Deer,66.0,14,4,0,2,2,2,58.64
Wild Boar,94.56,6,3,0,2,0,1,41.81
Wild Boar,77.88,2,4,1,2,0,0,39.62
Wild Boar,82.02,14,4,1,0,0,1,48.18
Leopard,85.86,16,3,1,0,2,2,64.31
Spotted Deer,86.48,20,0,2,2,2,2,69.51
Wild Boar,96.34,13,5,0,0,1,2,57.39
Leopard,98.88,15,1,2,0,2,2,65.29
Tiger,88.09,12,2,0,2,0,0,47.94
Tiger,71.2,9,1,0,0,1,2,42.75
Leopard,94.31,18,0,2,2,2,1,73.78
Leopard,61.92,14,6,1,2,2,0,69.37
Spotted Deer,69.01,20,0,2,2,0,0,49.56
Spotted Deer,95.0,4,4,1,2,0,2,50.23
Tiger,69.99,8,1,0,0,2,0,35.05
Wild Boar,68.61,8,0,1,0,1,2,35.07
Tiger,65.39,16,1,0,1,0,0,39.15
Wild Boar,93.51,10,0,0,1,2,0,35.01
Wild Boar,79.5,17,2,1,2,2,1,66.27
Spotted Deer,86.32,1,0,0,1,0,1,18.35
Asian Elephant,69.32,18,1,1,0,1,1,48.92
Asian Elephant,89.56,10,4,2,0,1,0,55.53
Leopard,89.64,4,1,0,1,1,1,34.89
Spotted Deer,72.19,1,3,0,1,0,1,27.17
Wild Boar,76.02,4,1,2,0,0,1,36.09
Asian Elephant,68.18,4,2,0,1,0,0,27.92
Wild Boar,98.09,4,5,2,0,1,2,64.14
Asian Elephant,85.18,17,2,2,0,1,1,61.51
Asian Elephant,96.45,9,2,0,1,0,0,35.11
Asian Elephant,71.83,19,0,2,1,0,0,50.79
Spotted Deer,90.49,13,2,2,2,0,2,63.86
Tiger,89.87,4,1,2,2,1,1,57.48
Wild Boar,86.97,5,5,0,2,2,0,54.4
Spotted Deer,97.66,13,6,2,2,2,0,76.34
Spotted Deer,75.35,16,4,1,2,1,0,55.33
Spotted Deer,65.1,5,6,1,0,0,2,46.07
Spotted Deer,86.2,8,2,2,1,0,1,43.78
Spotted Deer,88.44,16,1,1,0,0,0,30.79
Leopard,82.43,1,0,0,2,0,0,24.09
Wild Boar,68.07,6,0,2,2,1,0,45.63
Spotted Deer,79.67,11,4,0,1,2,0,44.79
Wild Boar,72.18,16,4,1,0,2,1,60.49
Leopard,76.67,5,1,1,2,1,1,45.82
Leopard,85.16,16,4,1,2,0,0,59.4
Wild Boar,89.06,7,4,1,2,2,0,62.52
Asian Elephant,69.06,19,0,0,2,1,0,47.18
Tiger,75.81,1,1,2,0,0,2,43.21
Asian Elephant,70.5,9,5,0,0,2,2,56.69
Asian Elephant,67.75,18,4,2,2,1,2,81.57
Asian Elephant,90.55,13,1,1,0,2,0,44.93
Spotted Deer,95.46,15,2,1,2,2,2,65.75
Leopard,74.44,3,0,1,1,1,1,37.7
Asian Elephant,89.3,10,5,1,1,1,2,66.06
Leopard,94.98,9,0,0,1,2,0,36.92
Wild Boar,93.0,13,0,2,0,2,1,51.99
Tiger,67.13,16,3,2,2,1,0,70.48
Wild Boar,97.3,3,1,1,1,0,1,33.07
Wild Boar,74.69,15,2,0,1,0,2,46.74
Spotted Deer,73.23,17,4,1,0,0,2,54.59
Tiger,62.43,14,2,2,0,0,1,52.33
Wild Boar,78.96,7,1,2,1,1,1,48.39
Wild Boar,64.25,20,0,0,2,0,0,38.5
Tiger,69.69,16,3,2,2,2,1,82.45
Tiger,72.36,8,1,0,2,0,0,37.6
Wild Boar,91.54,4,5,1,1,1,1,54.06
Tiger,94.14,20,5,1,0,0,1,63.78
Wild Boar,71.8,15,1,0,2,0,2,46.38
Wild Boar,93.49,5,4,1,1,1,2,53.75
Spotted Deer,93.43,13,2,0,1,0,0,30.84
Asian Elephant,89.82,6,2,1,0,1,0,39.89
Wild Boar,65.72,5,4,1,2,0,0,42.83
Leopard,86.92,17,3,2,1,1,1,68.25
Asian Elephant,96.86,7,0,2,2,0,1,51.61
Asian Elephant,86.62,6,6,0,2,2,0,58.87
Asian Elephant,72.93,2,6,1,2,2,1,67.67
Spotted Deer,79.52,11,0,1,1,1,2,41.35
Wild Boar,85.18,7,5,1,2,1,1,62.45
Spotted Deer,79.91,8,3,2,0,1,2,53.46
Wild Boar,64.68,5,4,0,1,2,0,41.8
Spotted Deer,72.17,18,6,0,1,1,1,54.78
Spotted Deer,91.29,16,1,0,2,0,0,38.11
Leopard,93.6,14,2,1,2,1,2,67.56
Spotted Deer,65.35,12,1,0,2,1,0,37.37
Tiger,97.14,17,2,2,1,0,2,68.76
Leopard,72.82,5,1,2,0,0,2,42.81
Spotted Deer,85.83,14,4,0,0,2,0,40.08
Asian Elephant,89.32,6,4,1,1,0,2,53.95
Tiger,91.67,15,3,2,0,0,0,58.93
Tiger,96.88,7,1,2,2,1,0,57.65
Tiger,72.2,14,1,1,1,2,0,51.95
Leopard,93.48,18,3,1,0,0,2,59.06
Spotted Deer,65.14,1,3,0,1,2,2,39.54
Spotted Deer,87.5,6,4,2,0,0,1,42.04
Asian Elephant,88.94,3,4,2,1,2,0,56.59
Asian Elephant,86.43,5,5,0,0,0,0,37.27
Tiger,69.84,12,1,0,1,1,0,40.07
Asian Elephant,94.05,11,4,2,1,2,0,65.73
Leopard,66.59,13,6,2,1,2,0,72.59
Spotted Deer,62.09,16,4,1,1,0,0,43.67
Tiger,87.98,18,1,1,1,2,0,61.6
Asian Elephant,78.54,17,3,2,2,0,1,70.27
Leopard,93.11,17,1,2,1,2,1,66.37
Leopard,74.95,11,6,1,1,2,0,64.66
Asian Elephant,66.56,20,0,0,1,1,0,40.76
Spotted Deer,92.62,10,1,0,0,1,1,30.44
Asian Elephant,81.41,16,0,2,1,2,1,62.72
Tiger,67.38,2,1,2,2,1,0,48.33
Asian Elephant,88.09,17,6,1,1,2,0,71.4
Leopard,79.93,20,0,2,0,0,1,49.18
Asian Elephant,83.57,10,0,0,0,2,1,35.53
Spotted Deer,77.98,13,6,1,1,2,0,58.71
Wild Boar,92.32,12,1,1,1,1,1,49.82
Asian Elephant,92.35,15,5,0,1,1,0,56.71
Spotted Deer,87.67,7,4,0,1,0,2,44.8
Spotted Deer,64.11,13,2,1,0,0,0,30.24
Leopard,92.72,12,4,2,1,0,0,59.93
Spotted Deer,86.17,12,0,0,0,2,0,28.45
Spotted Deer,87.18,2,1,1,0,0,1,24.92
Spotted Deer,74.16,5,1,2,2,0,0,39.76
Spotted Deer,94.29,2,1,2,0,1,0,33.89
Tiger,88.29,20,1,1,1,1,1,61.68
Tiger,64.39,13,5,0,1,0,2,56.0
Leopard,75.9,3,2,2,1,0,2,51.26
Asian Elephant,94.57,11,3,0,1,2,1,58.16
Spotted Deer,61.84,16,0,1,2,2,0,47.09
Asian Elephant,97.5,1,2,0,2,1,2,46.68
Asian Elephant,86.49,19,4,2,2,0,2,82.37
Leopard,84.62,11,3,1,2,0,1,52.89
Spotted Deer,70.55,9,3,2,0,0,2,47.63
Spotted Deer,69.7,14,1,2,2,0,2,54.62
Wild Boar,96.74,9,2,1,0,0,1,39.63
Asian Elephant,71.63,7,4,1,1,2,2,66.82
Asian Elephant,90.24,16,1,0,0,2,0,44.49
Tiger,75.33,3,1,1,0,0,1,29.06
Wild Boar,65.43,19,6,0,2,2,0,65.46
Tiger,60.42,4,6,1,1,2,0,55.56
Tiger,81.23,7,6,2,1,0,1,68.84
Tiger,98.06,12,5,0,2,2,2,74.38
Leopard,74.4,18,0,1,0,0,1,41.5
Leopard,73.93,5,3,0,2,2,2,56.03
Tiger,73.42,10,4,0,0,0,0,37.47
Wild Boar,80.3,12,3,0,2,0,2,45.82
Asian Elephant,77.19,8,2,2,2,2,0,62.59
Wild Boar,94.32,19,0,1,1,2,0,51.8
Spotted Deer,79.72,15,1,1,1,1,0,43.05
Leopard,79.8,1,0,0,1,0,1,22.94
Asian Elephant,65.4,3,1,1,2,0,2,45.79
Asian Elephant,98.33,18,6,2,1,0,2,81.46
Spotted Deer,69.75,18,0,0,1,0,2,34.99
Spotted Deer,62.86,2,1,2,2,2,0,45.48
Tiger,85.86,5,3,2,1,2,1,66.44
Leopard,83.22,1,6,1,0,1,2,55.92
Leopard,76.19,10,6,1,1,0,2,64.02
Wild Boar,76.47,20,6,0,0,1,1,59.95
Tiger,90.62,10,3,2,1,1,2,68.34
Tiger,67.63,5,3,1,2,1,1,57.63
Tiger,91.99,18,3,0,2,1,1,63.79
Tiger,85.3,15,6,0,1,1,2,69.99
Leopard,76.34,20,0,1,0,2,1,52.76
Leopard,77.86,8,1,2,1,2,1,52.68
Tiger,70.01,17,3,0,2,1,2,66.43
Wild Boar,89.33,12,0,1,1,2,0,43.26
Asian Elephant,80.0,12,1,0,2,2,2,58.11
Asian Elephant,72.51,1,6,1,0,1,2,53.46
Wild Boar,83.25,4,0,0,0,2,0,23.29
Tiger,98.83,8,6,2,2,2,1,84.18
Leopard,76.98,1,5,0,0,0,2,37.16
Asian Elephant,95.91,15,3,1,2,1,0,61.65
Spotted Deer,73.46,18,2,1,2,0,0,45.93
Spotted Deer,62.13,1,0,1,2,0,2,29.69
Wild Boar,67.97,11,3,2,1,1,2,66.37
Tiger,76.33,2,4,1,0,0,0,35.32
Asian Elephant,68.57,1,1,1,1,0,2,39.06
Tiger,60.01,12,5,2,1,2,0,72.0
Asian Elephant,95.69,16,3,1,0,0,2,59.92
Wild Boar,92.91,10,4,1,1,1,0,50.96
Wild Boar,88.95,18,0,2,2,2,2,73.31
Spotted Deer,66.54,15,0,0,1,2,2,43.5
Tiger,64.69,17,4,1,2,2,2,81.49
Spotted Deer,62.64,10,5,0,0,1,1,39.52
Tiger,88.24,3,4,2,1,1,2,67.87
Spotted Deer,96.22,16,1,1,0,1,0,38.97
Leopard,76.79,6,0,1,2,0,0,36.89
Leopard,64.65,3,4,2,1,0,1,50.91
Leopard,79.98,9,2,1,2,2,1,59.46
Leopard,73.6,11,2,0,2,2,1,54.09
Asian Elephant,74.62,13,4,0,2,1,2,66.48
Leopard,84.23,18,1,2,0,1,2,62.23
Wild Boar,88.03,4,0,1,0,0,0,24.17
Wild Boar,64.31,8,2,1,0,0,0,28.08
Asian Elephant,61.39,13,4,2,1,1,2,71.6
Leopard,98.78,10,6,0,2,1,0,57.38
Leopard,69.08,2,4,0,0,0,2,34.75
Leopard,62.1,8,3,2,2,2,1,65.91
Spotted Deer,67.41,6,4,1,0,2,2,52.18
Tiger,61.52,16,1,0,2,0,2,50.53
Spotted Deer,75.28,18,2,1,0,0,2,48.19
Tiger,91.29,17,3,0,0,2,0,51.96
Leopard,73.31,6,2,1,0,0,2,40.86
Leopard,77.32,13,2,0,0,2,2,53.8
Spotted Deer,86.35,14,1,1,2,2,2,59.72
Spotted Deer,79.85,10,4,2,0,0,1,47.42
Tiger,93.6,11,1,0,0,1,2,45.15
Wild Boar,93.78,13,4,2,0,1,2,67.63
Tiger,60.39,12,3,0,2,1,2,60.29
Spotted Deer,90.34,9,1,0,0,1,0,24.31
Spotted Deer,77.97,4,1,0,2,1,1,33.13
Asian Elephant,98.56,7,6,1,1,1,1,62.14
Spotted Deer,78.85,2,5,0,2,1,2,49.69
Asian Elephant,98.49,7,0,2,1,0,2,52.59
Wild Boar,89.43,9,1,1,0,0,0,31.95
Tiger,69.7,5,5,1,0,1,2,56.75
Tiger,81.0,15,0,0,2,0,0,39.68
Asian Elephant,98.69,18,6,1,0,2,2,81.87
Tiger,93.44,4,4,0,0,1,0,36.5
Spotted Deer,63.8,19,4,2,2,2,1,72.23
Leopard,87.55,20,4,1,0,0,2,61.15
Asian Elephant,73.48,7,5,1,1,1,0,51.62
Tiger,60.27,8,5,2,1,2,0,68.85
Asian Elephant,75.74,17,0,2,0,0,2,58.08
Asian Elephant,69.16,13,4,0,0,1,0,40.69
Leopard,91.94,11,2,1,1,1,2,58.09
Spotted Deer,73.16,1,1,2,0,2,2,42.97
Asian Elephant,92.27,2,5,1,1,2,0,56.27
Tiger,60.02,17,5,2,2,2,0,81.23
Wild Boar,72.0,5,5,1,1,0,0,40.95
Asian Elephant,69.41,6,0,2,0,2,1,45.96
Asian Elephant,69.11,7,4,1,0,2,2,58.72
Leopard,62.66,15,2,0,1,2,2,58.47
Spotted Deer,67.3,19,1,1,1,1,1,47.46
Wild Boar,81.67,16,1,0,0,2,1,41.01
Tiger,71.36,13,4,0,0,2,0,52.4
Wild Boar,76.28,5,2,0,0,0,2,31.75
Tiger,74.7,3,0,1,2,0,1,37.06
Spotted Deer,94.16,3,5,1,2,2,1,60.16
Tiger,95.31,19,5,0,1,0,2,68.82
Leopard,79.23,14,6,2,1,0,2,75.65
Leopard,72.88,16,4,1,2,0,2,70.21
Leopard,64.17,17,1,1,2,1,0,53.48
Leopard,97.18,4,5,1,1,2,1,62.54
Wild Boar,62.35,13,6,1,2,2,0,68.21
Spotted Deer,71.61,8,1,0,1,2,2,41.09
Tiger,71.62,19,1,2,0,0,2,62.58
Tiger,72.5,5,4,2,1,0,1,56.64
Leopard,66.41,2,3,2,2,0,0,48.72
Leopard,90.54,15,6,2,2,1,0,78.54
Asian Elephant,64.78,2,3,0,2,0,0,32.82
Spotted Deer,84.76,11,3,1,1,1,2,54.06
Wild Boar,64.83,13,6,1,2,2,1,72.52
Tiger,62.75,10,2,0,1,0,0,34.66
Asian Elephant,95.47,3,4,1,0,1,2,55.41
Asian Elephant,67.42,5,6,0,0,1,2,51.96
Tiger,92.03,3,1,2,2,0,0,46.01
Wild Boar,81.24,6,6,0,1,1,1,47.53
Asian Elephant,63.04,13,5,1,1,0,1,59.04
Asian Elephant,97.26,10,6,1,2,1,0,72.64
Spotted Deer,69.63,19,2,1,1,2,2,61.85
Wild Boar,93.53,8,3,2,2,2,2,73.37
Asian Elephant,66.58,18,0,0,2,2,0,50.49
Wild Boar,93.3,3,2,0,0,0,2,29.21
Tiger,60.52,17,2,1,2,2,2,76.23
Leopard,79.96,8,4,0,1,2,0,48.72
Asian Elephant,90.01,10,5,1,2,2,2,77.96
Spotted Deer,96.46,2,2,0,0,0,0,14.79
Tiger,95.46,12,6,2,0,1,0,70.31
Wild Boar,91.97,6,5,2,1,0,0,52.88
Tiger,94.64,2,4,0,2,0,2,53.19
Asian Elephant,67.77,3,6,2,1,2,0,64.79
Wild Boar,71.08,17,0,2,1,1,2,63.0
Leopard,71.27,7,1,2,2,2,0,56.1
Tiger,74.71,5,1,1,0,2,1,50.95
Asian Elephant,75.34,1,3,0,1,0,2,39.08
Spotted Deer,81.24,8,3,0,1,0,2,39.02
Wild Boar,66.24,12,0,1,0,0,2,36.52
Tiger,86.96,14,1,1,2,2,1,67.04
Tiger,66.54,16,3,2,2,1,0,68.1
Leopard,72.1,10,5,0,2,1,1,55.67
Leopard,79.63,15,2,1,0,2,0,49.75
Spotted Deer,91.06,15,4,2,1,1,0,59.93
Spotted Deer,88.84,10,6,0,0,2,0,51.2
Asian Elephant,85.18,7,3,2,1,1,0,55.81
Asian Elephant,66.08,3,0,0,1,2,0,27.46
Spotted Deer,81.33,2,6,2,2,1,1,64.91
Spotted Deer,63.41,6,1,0,2,0,2,33.15
Wild Boar,74.72,9,0,0,2,0,1,35.48
Leopard,76.13,10,4,0,0,0,2,48.22
Asian Elephant,61.55,4,4,0,2,0,2,44.55
Leopard,70.69,3,0,2,0,2,2,43.62
Leopard,97.27,9,3,1,2,1,1,64.26
Spotted Deer,97.19,17,3,0,2,2,0,53.39
Wild Boar,73.74,14,1,0,2,0,0,32.7
Tiger,61.68,10,5,0,0,1,2,52.83
Wild Boar,66.98,13,1,0,1,2,0,37.29
Wild Boar,75.3,12,2,2,0,0,0,41.08
Leopard,96.96,1,5,1,0,1,1,50.62
Wild Boar,65.51,19,6,1,0,1,0,58.49
Asian Elephant,89.78,19,2,1,1,0,0,48.75
Leopard,64.24,6,1,2,0,0,1,38.94
Asian Elephant,98.27,13,5,1,2,1,0,65.37
Tiger,74.88,19,5,2,1,0,2,79.08
Leopard,90.23,13,2,2,0,2,1,62.16
Tiger,73.36,4,0,0,0,0,0,19.4
Leopard,84.48,2,3,2,1,0,0,43.13
Spotted Deer,67.49,15,5,1,0,0,1,49.52
Wild Boar,65.69,12,6,1,1,1,2,64.04
Spotted Deer,96.58,7,6,1,2,1,1,63.99
Tiger,95.79,20,5,0,0,0,2,65.85
Wild Boar,94.61,18,2,0,0,1,1,45.64
Leopard,84.39,13,5,0,2,0,0,50.16
Wild Boar,91.52,17,2,2,0,2,1,62.55
Asian Elephant,62.69,4,0,1,0,1,1,31.79
Wild Boar,73.06,14,6,2,1,0,2,75.11
Asian Elephant,72.23,20,5,2,0,1,1,72.38
Wild Boar,84.79,13,4,1,2,2,2,76.23
Asian Elephant,73.88,3,1,0,0,2,1,30.81
Tiger,65.79,18,6,1,1,0,0,62.54
Spotted Deer,83.26,14,0,2,2,1,1,54.9
Leopard,91.76,15,4,2,2,2,0,76.84
Wild Boar,74.9,3,6,0,2,1,2,56.25
Spotted Deer,65.16,1,0,2,2,0,2,42.15
Leopard,67.67,17,3,2,1,2,2,79.51
Leopard,69.26,3,0,1,1,2,2,45.34
Asian Elephant,71.7,14,0,0,1,1,1,39.46
Tiger,85.07,3,3,1,1,2,1,54.51
Tiger,83.44,13,5,1,0,0,1,59.24
Spotted Deer,87.15,15,1,1,1,0,0,35.98
Tiger,74.14,18,4,2,0,2,1,72.22
Wild Boar,92.14,14,6,2,2,0,0,67.5
Tiger,67.96,3,2,0,0,2,0,34.02
Spotted Deer,78.29,19,1,2,0,2,1,54.95
Tiger,91.24,8,6,0,0,2,0,53.21
Wild Boar,67.03,4,0,1,1,2,2,44.61
Asian Elephant,64.28,4,2,1,1,1,1,40.35
Spotted Deer,94.46,19,3,2,2,2,1,76.78
Asian Elephant,73.37,11,1,2,1,0,0,45.4
Asian Elephant,86.67,1,5,0,0,1,1,37.27
Asian Elephant,60.99,8,4,2,1,0,1,56.85
Leopard,86.91,15,1,2,1,2,0,61.58
Leopard,72.33,1,1,2,0,0,1,35.28
Asian Elephant,62.17,7,5,1,2,1,1,62.45
Spotted Deer,83.78,20,2,2,1,0,1,58.23
Wild Boar,69.39,20,3,2,2,1,0,69.66
Wild Boar,75.09,11,5,1,0,2,1,57.21
Tiger,63.14,14,6,1,1,2,1,71.11
Spotted Deer,65.74,16,3,1,2,0,1,49.91
Leopard,71.62,14,5,1,2,0,2,67.03
Asian Elephant,63.5,12,1,2,0,2,1,59.83
Tiger,95.52,17,3,2,1,2,0,71.95
Wild Boar,60.24,14,2,2,2,0,2,61.65
Leopard,78.87,10,2,0,2,2,0,47.62
Leopard,64.81,14,4,1,2,1,1,63.74
Asian Elephant,72.0,18,3,2,2,1,1,78.17
Wild Boar,96.12,9,4,2,2,0,1,60.51
Spotted Deer,66.31,17,6,2,2,0,2,80.18
Leopard,97.67,6,5,1,2,2,1,69.29
Asian Elephant,68.03,8,0,1,2,2,0,48.45
Spotted Deer,88.92,13,6,1,2,1,2,72.25
Wild Boar,81.32,18,2,2,2,0,0,61.03
Leopard,94.49,5,1,1,1,0,0,32.37
Spotted Deer,81.61,6,2,2,0,0,0,30.73
Spotted Deer,80.85,19,0,0,0,0,0,29.86
Spotted Deer,67.62,4,1,1,0,1,0,27.64
Leopard,66.48,7,3,1,2,1,1,52.22
Leopard,95.74,4,3,2,0,0,0,44.02
Tiger,72.79,11,6,1,2,1,0,69.45
Wild Boar,74.51,12,2,1,1,0,1,46.35
Asian Elephant,89.63,14,1,2,0,1,2,60.72
Spotted Deer,73.21,13,5,2,1,2,1,73.41
Tiger,97.13,10,1,2,1,1,2,66.47
Asian Elephant,88.78,18,4,0,2,0,0,53.17
Tiger,83.3,16,0,2,0,2,1,60.21
Leopard,94.35,5,6,1,1,0,2,58.76
Spotted Deer,61.93,8,3,0,0,2,2,41.03
Asian Elephant,70.03,14,2,2,1,2,1,66.67
Asian Elephant,78.14,5,1,0,1,1,1,37.17
Asian Elephant,68.85,8,3,0,2,1,1,50.62
Asian Elephant,89.01,6,2,1,0,2,1,49.66
Asian Elephant,95.85,16,3,0,2,2,1,66.32
Tiger,76.53,4,2,2,2,2,0,61.87
Spotted Deer,73.34,12,3,0,2,0,0,36.26
Leopard,97.5,11,5,0,2,1,1,56.69
Leopard,77.35,3,4,1,2,0,1,54.28
Leopard,79.07,12,0,1,1,1,0,39.12
Leopard,73.71,5,3,2,0,0,2,52.15
Tiger,95.47,6,0,1,0,1,0,34.37
Wild Boar,82.19,19,3,2,2,2,1,81.64
Spotted Deer,89.72,18,6,2,0,2,2,77.89
Asian Elephant,91.66,16,1,1,1,1,1,54.47
Wild Boar,73.33,11,4,0,2,2,2,62.05
Leopard,76.91,5,6,1,1,2,1,64.78
Wild Boar,93.09,9,5,0,1,0,0,42.36
Spotted Deer,74.17,3,4,0,2,1,1,42.28
Asian Elephant,90.96,8,0,2,1,2,0,52.22
Asian Elephant,96.7,6,1,2,2,1,2,65.9
Spotted Deer,84.31,4,2,1,1,0,0,31.18
Spotted Deer,88.92,12,6,0,0,1,2,56.74
Leopard,91.4,12,4,1,0,0,1,51.55
Asian Elephant,92.96,16,5,2,0,0,0,62.57
Wild Boar,75.41,10,6,0,2,0,2,62.51
Tiger,62.0,14,1,1,1,2,2,64.48
Tiger,75.67,13,1,1,1,0,2,53.88
Spotted Deer,86.28,9,0,2,0,1,2,42.58
Leopard,77.56,7,5,2,0,1,1,56.55
Tiger,89.21,12,1,2,2,2,1,72.3
Asian Elephant,73.92,5,1,2,2,2,1,61.43
Spotted Deer,84.76,18,2,1,1,0,2,51.89
Wild Boar,67.27,4,0,2,2,0,1,42.64
Spotted Deer,89.23,2,0,2,2,0,2,41.92
Wild Boar,81.28,3,5,1,2,2,2,68.04
Spotted Deer,67.96,12,1,1,0,2,2,48.05
Spotted Deer,71.38,3,2,0,0,1,0,20.31
Spotted Deer,89.2,4,3,1,1,0,1,38.91
Wild Boar,78.82,6,4,0,2,0,1,43.16
Wild Boar,68.43,12,6,2,0,1,0,59.66
Spotted Deer,97.72,19,0,0,2,1,0,44.15
Tiger,87.89,10,2,0,1,1,0,43.07
Leopard,97.33,1,5,2,2,1,0,62.43
Leopard,76.66,17,2,2,1,0,2,64.98
Leopard,78.53,16,1,2,1,2,1,67.01
Wild Boar,95.02,9,4,0,0,0,1,40.74
Wild Boar,80.48,9,0,1,2,1,1,44.87
Tiger,87.58,9,3,1,0,2,2,63.22
Leopard,69.83,12,1,1,2,0,1,47.64
Leopard,77.42,9,0,2,2,1,0,50.86
Spotted Deer,64.81,15,6,2,1,2,1,75.29
Wild Boar,68.03,2,5,1,1,2,1,51.29
Leopard,60.04,11,0,2,2,2,2,62.84
Tiger,61.53,11,2,0,0,0,0,28.54
Tiger,98.11,8,6,0,1,1,0,53.43
Leopard,69.45,6,4,2,1,0,0,49.22
Wild Boar,85.87,20,3,1,2,0,1,66.2
Tiger,92.72,7,4,1,2,0,0,56.39
Spotted Deer,81.48,3,2,0,1,2,0,29.26
Tiger,65.97,8,3,2,0,1,1,57.5
Asian Elephant,88.4,18,3,1,1,0,2,64.05
Asian Elephant,83.41,17,1,1,2,1,1,61.52
Wild Boar,88.52,11,3,2,1,2,2,69.69
Leopard,90.02,2,0,2,2,0,2,47.21
Wild Boar,98.04,19,4,1,1,1,0,63.18
Wild Boar,82.37,7,5,2,2,2,0,68.6
Wild Boar,73.32,18,5,2,2,0,1,74.42
Wild Boar,85.29,8,4,2,0,0,2,59.76
Spotted Deer,62.67,14,1,1,2,1,1,47.7
Spotted Deer,95.0,7,3,0,1,1,0,34.03
Tiger,64.66,4,2,2,2,0,2,61.8
Asian Elephant,72.79,17,6,1,1,0,0,61.17
Wild Boar,91.81,5,6,0,0,2,0,44.47
Tiger,83.3,12,0,1,1,2,0,50.96
Asian Elephant,75.35,9,1,1,0,0,2,41.33
Leopard,78.46,20,6,1,0,1,2,72.22
Spotted Deer,93.33,13,3,0,2,1,0,45.45
Asian Elephant,73.26,18,5,1,0,0,2,65.52
Leopard,93.92,20,2,0,1,2,0,52.7
Asian Elephant,63.44,9,3,2,0,0,0,42.08
Spotted Deer,90.3,4,1,0,0,1,0,19.06
Spotted Deer,93.05,8,2,1,2,0,2,47.2
Tiger,67.09,1,6,0,1,0,1,41.36
Wild Boar,76.78,17,2,1,0,2,1,55.33
Asian Elephant,66.45,9,2,2,2,1,2,68.71
Asian Elephant,87.56,20,2,0,2,1,2,66.78
Leopard,80.88,13,6,2,1,0,0,64.46
Spotted Deer,84.78,2,3,0,2,1,0,35.74
Asian Elephant,67.66,13,2,1,0,1,1,51.62
Spotted Deer,68.26,9,3,0,2,1,0,39.04
Asian Elephant,61.62,20,2,2,1,1,1,66.14
Tiger,72.56,6,2,0,1,2,1,49.4
Wild Boar,81.83,1,1,2,2,2,2,62.17
Asian Elephant,93.46,5,3,2,0,2,2,64.8
Spotted Deer,86.01,3,5,1,2,2,2,65.95
Tiger,76.98,4,3,0,1,2,1,46.61
Asian Elephant,97.17,1,4,2,2,1,2,64.96
Leopard,88.05,14,6,1,2,0,1,67.15
Wild Boar,96.28,9,5,1,0,0,2,55.23
Asian Elephant,80.58,4,1,1,2,2,1,52.32
Tiger,70.1,18,3,2,0,1,0,63.22
Leopard,62.06,14,1,0,2,2,0,43.63
Tiger,88.32,4,5,2,2,0,1,63.36
Tiger,64.73,10,1,1,0,1,1,44.96
Leopard,71.81,3,1,2,0,1,0,33.98
Tiger,80.77,7,0,2,1,1,1,51.12
Leopard,82.01,10,3,1,0,0,1,44.37
